Format,Disc,Artist,Song Title
PS3,Pop Edition,Robyn,Be Mine
PS3,Pop Edition,Rockwell,Somebody's Watching Me
PS2,Rocks!,Rolling Stones,"Paint It, Black"
PCSX2,The Dome (DE),Ronan Keating,Father and Son
PS2,Popworld,Ronan Keating feat. Yusuf Islam,Father And Son
PS2,Rock Ballads,Roxette,It Must Have Been Love
PS2,Rock Ballads,Roxette,Listen To Your Heart
PS2,Singstar,Roy Orbison,"Oh, Pretty Woman"
PS3,Dance,Run DMC vs Jason Nevins,It's Like That
PS2,80s,Run-D.M.C.,It's Tricky
PCSX2,Pop (US),Ryan Cabrera,On The Way Down
PS2,Singstar,S Club,Don't Stop Movin'
PS3,Back To The 80s,Sade,Your Love Is King
PS3,Dance,Salt'N'Pepa,Push It
PS2,R & B,Salt'N'Pepa,Push It
PS3,Pop Edition,Sam Sparro,Black And Gold
PS2,Hottest Hits,Sam Sparro,Black And Gold
PS3,Chartbreaker,Samantha Fox,Touch Me (I Want Your Body)
PCSX2,Made In Germany,Sandra,Maria Magdalena
PCSX2,Pop Vol 2 (US),Santana feat. Chad Kroger,Into The Night
PCSX2,90s (US),Santana feat. Rob Thomas,Smooth
PS3,Vol 3: Party Ed,Sara Bareilles,Love Song
PCSX2,Made In Germany,Sarah Connor,From Sarah With Love
PS3,Pop Edition,Sarah Connor,Under my Skin
PS2,90s,Savage Garden,I Want You
PS3,Vol 1,Scissor Sisters,I Don't Feel Like Dancin'
PS2,Anthems,Scissor Sisters,Laura
PCSX2,Rocks! (US),Scissor Sisters,Take Your Mama
PS2,Party,Scissor Sisters,Take Your Mama
PCSX2,Amped (DE),Scorpions,Rock You Like A Hurricane
PCSX2,Made In Germany,Scorpions,Send Me An Angel
PS2,Rocks!,Scorpions,Wind Of Change
PS3,Pop Edition,Script,The Man Who Can't Be Moved
PS2,90s,Seal,Kiss From A Rose
PS2,Hottest Hits,Sean Kingston,Beautiful Girls
PS3,Ultimate Party,Selena Gomez,Come & Get It
PS3,Dance,Shaggy,Boombastic
PS3,Vol 2,Shakespears Sister,Stay
PS2,80s,Simple Minds,Don't You (Forget About Me)
PS3,Dance,Sir Mix A Lot,Baby Got Back
PS2,90s,Sir Mix-a-Lot,Baby Got Back
PS2,Boy Bands vs Girl Bands,Sister Sledge,He's the Greatest Dancer
PCSX2,The Dome (DE),Sister Sledge,We Are Family
PS2,Popworld,Sister Sledge,We Are Family
PCSX2,90s (US),Sixpence None the Richer,Kiss Me
PCSX2,Amped (DE),Skunk Anansie,Weak
PS2,Sing Along With Disney,Sleeping Beauty,I Wonder
PS2,Sing Along With Disney,Sleeping Beauty,Once Upon A Dream
PS3,Vol 3: Party Ed,Smashing Pumpkins,1979
PS3,Motown,Smokey Robinson,Being With You
PS2,Motown,Smokey Robinson,Being with You
PS3,Motown,Smokey Robinson And The Miracles,The Tracks Of My Tears
PS2,Motown,Smokey Robinson and The Miracles,The Tracks of My Tears
PS2,Hottest Hits,Sneaky Sound System,Pictures
PS3,Chartbreaker,Sniff 'n' the Tears,Driver's Seat
PCSX2,Pop (US),Snow Patrol,Chasing Cars
PS2,Hottest Hits,Snow Patrol,Chasing Cars
PS2,Rocks!,Snow Patrol,Run
PS2,80s,Soft Cell,Tainted Love
PS3,Pop Edition,Solange,I Decided
PS2,Party,Sonny & Cher,I Got You Babe
PS2,Singstar,Sophie Ellis Bextor,Murder on the Dancefloor
PCSX2,Amped (DE),Soul Asylum,Runaway Train
PS3,Back To The 80s,Soul II Soul Featuring Caron Wheeler,Keep On Movin'
PS3,Dance,Soulja Boy Tell 'Em,Crank That
PCSX2,90s (US),Soundgarden,Black Hole Sun
PS2,Party,Spandau Ballet,Gold
PS3,Back To The 80s,Spandau Ballet,Gold
PS3,Vol 2,Spandau Ballet,True
PS2,Boy Bands vs Girl Bands,Spice Girls,Say You'll Be There
PS2,90s,Spice Girls,Wannabe
PS2,Party,Spice Girls,Who Do You Think You Are
PS2,90s,Spin Doctors,Two Princes
PCSX2,80s (US),Squeeze,Tempted
PS2,Rock Ballads,Starship,Nothing's Gonna Stop Us Now
PS2,80s,Starship,We Built This City
PCSX2,The Dome (DE),Steppenwolf,Born To Be Wild
PS2,Popworld,Steppenwolf,Born To Be Wild
PCSX2,Amped (US),Steppenwolf,Born To Be Wild
PS2,Anthems,Steps,Deeper Shade of Blue
PS2,Rocks!,Stereophonics,Dakota
PCSX2,Pop Vol 2 (US),Steriogram,Walkie Talkie Man
PS3,Motown,Stevie Wonder,For Once in My Life
PS2,Motown,Stevie Wonder,For Once in My Life
PS3,Vol 1,"Stone Roses, The",She Bangs The Drums
PCSX2,90s (US),Stone Temple Pilots,Plush
PCSX2,Amped (US),Stone Temple Pilots,Vasoline
PCSX2,Amped (DE),Sublime,Santeria
PS2,Boy Bands vs Girl Bands,Sugababes,About You Now
PS3,Pop Edition,Sugababes,Girls
PS2,Summer Party,Sugababes,Red Dress
PS2,Singstar,Sugababes,Round Round
PS2,Rock Ballads,Sugababes,Too Lost In You
PS2,R & B,Sugababes,Ugly
PCSX2,Pop Vol 2 (US),Sum 41,Fat Lip
PS3,Vol 1,Supergrass,Alright
PS2,80s,Survivor,Eye Of The Tiger
PS3,Ultimate Party,Swedish House Mafia feat. John Martin,Don't You Worry Child
PS2,Take That,Take That,A Million Love Songs
PS3,Take That,Take That,A Million Love Songs
PS2,Take That,Take That,Babe
PS3,Take That,Take That,Babe
PS2,Take That,Take That,Back For Good
PS3,Take That,Take That,Back For Good
PS2,Take That,Take That,Beautiful World
PS3,Take That,Take That,Beautiful World
PS3,Vol 3: Party Ed,Take That,Could It Be Magic
PS2,Take That,Take That,Could It Be Magic
PS3,Take That,Take That,Could It Be Magic
PS2,Take That,Take That,Do What U Like
PS3,Take That,Take That,Do What U Like
PS2,Take That,Take That,Everything Changes
PS3,Take That,Take That,Everything Changes
PS3,Take That,Take That,Gr8est Day
PS2,Take That,Take That,Greatest Day
PS2,Take That,Take That,Hold Up A Light
PS3,Take That,Take That,Hold Up A Light
PS3,Take That,Take That,I'd W8 For Life
PS2,Take That,Take That,I'd Wait For Life
PS2,Take That,Take That,It Only Takes A Minute
PS3,Take That,Take That,It Only Takes A Minute
PS2,Take That,Take That,Love Ain't Here Anymore
PS3,Take That,Take That,Love Ain't Here Anymore
PS2,Take That,Take That,Never Forget
PS3,Take That,Take That,Never Forget
PS2,Take That,Take That,Once You've Tasted Love
PS3,Take That,Take That,Once You've Tasted Love
PS2,Take That,Take That,Patience
PS3,Take That,Take That,Patience
PS2,Take That,Take That,Pray
PS3,Take That,Take That,Pray
PS2,Take That,Take That,Promises
PS3,Take That,Take That,Promises
PS2,Take That,Take That,Reach Out
PS3,Take That,Take That,Reach Out
PS2,Take That,Take That,Rule The World
PS3,Take That,Take That,Rule The World
PS2,Take That,Take That,Said It All
PS3,Take That,Take That,Said It All
PS2,Take That,Take That,Shine
PS3,Take That,Take That,Shine
PS2,Take That,Take That,Sure
PS3,Take That,Take That,Sure
PS2,Take That,Take That,Up All Night
PS3,Take That,Take That,Up All Night
PS2,Take That,Take That,Why Can't I Wake Up With You
PS3,Take That,Take That,Why Can't I Wake Up With You
PS2,Anthems,Take That (featuring Lulu),Relight My Fire
PS2,Take That,Take That (featuring Lulu),Relight My Fire
PS3,Take That,Take That (featuring Lulu),Relight My Fire
PS3,Chartbreaker,Talk Talk,Such A Shame
PCSX2,Amped (US),Talking Heads,Burning Down The House
PS2,Sing Along With Disney,Tarzan,Son Of Man
PS3,Chartbreaker,Tasmin Archer,Sleeping Satellite
PS2,80s,Tears for Fears,Everybody Wants To Rule The World
PS2,90s,Technotronic feat. Felly,Pump Up The Jam
PS3,Vol 3: Party Ed,Texas,Say What You Want
PS2,Summer Party,Texas,Summer Son
PS2,R & B,The 411,Dumb
PCSX2,Pop (US),The All-American Rejects,Move Along
PS2,Sing Along With Disney,The Aristocats,Ev'rybody Wants To Be A Cat
PS2,Boy Bands vs Girl Bands,The Bangles,Eternal Flame
PS3,Beatle Rock Band,The Beatles,A Hard Day's Night
PS3,Beatle Rock Band,The Beatles,And Your Bird Can Sing
PS3,Beatle Rock Band,The Beatles,Back in the U.S.S.R.
PS3,Beatle Rock Band,The Beatles,Birthday
PS3,Beatle Rock Band,The Beatles,Boys
PS3,Beatle Rock Band,The Beatles,Can't Buy Me Love
PS3,Beatle Rock Band,The Beatles,Come Together
PS3,Beatle Rock Band,The Beatles,Day Tripper
PS3,Beatle Rock Band,The Beatles,Dear Prudence
PS3,Beatle Rock Band,The Beatles,Dig a Pony
PS3,Beatle Rock Band,The Beatles,Do You Want to Know a Secret
PS3,Beatle Rock Band,The Beatles,Don't Let Me Down
PS3,Beatle Rock Band,The Beatles,Drive My Car
PS3,Beatle Rock Band,The Beatles,Eight Days a Week
PS3,Beatle Rock Band,The Beatles,Get Back
PS3,Beatle Rock Band,The Beatles,Getting Better
PS3,Beatle Rock Band,The Beatles,Good Morning Good Morning
PS3,Beatle Rock Band,The Beatles,"Hello, Goodbye"
PS3,Beatle Rock Band,The Beatles,Helter Skelter
PS3,Beatle Rock Band,The Beatles,Here Comes the Sun
PS3,Beatle Rock Band,The Beatles,Hey Bulldog
PS3,Beatle Rock Band,The Beatles,I Am the Walrus
PS3,Beatle Rock Band,The Beatles,I Feel Fine
PS3,Beatle Rock Band,The Beatles,I Me Mine
PS3,Beatle Rock Band,The Beatles,I Saw Her Standing There
PS3,Beatle Rock Band,The Beatles,I Wanna Be Your Man
PS3,Beatle Rock Band,The Beatles,I Want to Hold Your Hand
PS3,Beatle Rock Band,The Beatles,I Want You (She's So Heavy)
PS3,Beatle Rock Band,The Beatles,If I Needed Someone
PS3,Beatle Rock Band,The Beatles,I'm Looking Through You
PS3,Beatle Rock Band,The Beatles,I've Got a Feeling
PS3,Beatle Rock Band,The Beatles,Lucy in the Sky with Diamonds
PS3,Beatle Rock Band,The Beatles,Octopus's Garden
PS3,Beatle Rock Band,The Beatles,Paperback Writer
PS3,Beatle Rock Band,The Beatles,Revolution
PS2,Party,The Beautiful South,A Little Time
PCSX2,The Dome (DE),Black Eyed Peas,Shut Up
PCSX2,The Dome (DE),The Clash,Should I Stay or Should I Go
PS2,Popworld,The Clash,Should I Stay Or Should I Go
PS3,Motown,The Commodores,Brick House
PS2,Motown,The Commodores,Brick House
PS3,Motown,The Commodores,Easy
PS2,Motown,The Commodores,Easy
PS3,Motown,The Contours,Do You Love Me
PS2,Motown,The Contours,Do You Love Me
PCSX2,Rocks! (US),The Cure,Friday I'm in Love
PCSX2,The Dome (DE),The Dandy Warhols,Bohemian Like You
PS2,Popworld,The Dandy Warhols,Bohemian Like You
PS2,Singstar,The Darkness,I Believe in a Thing Called Love
PS2,Party,The Foundations,Build Me Up Buttercup
PS2,R & B,The Four Tops,I Can't Help Myself
PS3,Motown,The Four Tops,I Can't Help Myself
PS3,Motown,The Four Tops,Reach Out I'll Be There
PS2,Motown,The Four Tops,Reach Out I'll Be There
PS2,Hottest Hits,The Fray,How To Save A Life
PCSX2,Pop (US),The Fray,Over My Head (Cable Car)
PS2,Popworld,The Hives,Main Offender
PCSX2,Pop Vol 2 (US),The Hives,Tick Tick Boom
PCSX2,Amped (DE),The Hives,Walk Idiot Walk
PS3,Motown,The Isley Brothers,This Old Heart Of Mine (Is Weak For You)
PS2,Motown,The Isley Brothers,This Old Heart of Mine (Is Weak for You)
PS3,Motown,The Jackson 5,ABC
PS2,Motown,The Jackson 5,ABC
PS3,Motown,The Jackson 5,I Want You Back
PS2,Sing Along With Disney,The Jungle Book,Bare Necessities
PS2,Sing Along With Disney,The Jungle Book,I Wanna Be Like You
PCSX2,Amped (US),The Killers,When You Were Young
PS2,Sing Along With Disney,The Lion King,I Just Can't Wait To Be King
PS2,Sing Along With Disney,The Lion King,The Circle Of Life
PS2,Sing Along With Disney,The Little Mermaid,Kiss The Girl
PS2,Sing Along With Disney,The Little Mermaid,Under The Sea
PS3,Ultimate Party,The Lumineers,Ho Hey
PS3,Motown,The Miracles,Love Machine
PS2,Motown,The Miracles,Love Machine
PCSX2,Pop Vol 2 (US),The Outfield,Your Love
PCSX2,Rocks! (US),The Police,Every Breath You Take
PS2,Party,The Police,Every Breath You Take
PS2,Hottest Hits,The Potbelleez,Don't Hold Back
PS2,R & B,The Pussycat Dolls,Buttons
PS2,Anthems,The Pussycat Dolls,Don't Cha
PS2,Boy Bands vs Girl Bands,The Pussycat Dolls,Stickwitu
PCSX2,Pop (US),The Raconteurs,"Steady, As She Goes"
PS2,Boy Bands vs Girl Bands,The Shangri-Las,Leader of the Pack
PCSX2,Amped (DE),The Subways,Rock & Roll Queen
PS3,Motown,The Supremes,Stop In The Name Of Love
PS3,Back To The 80s,The Supremes,Stop In The Name Of Love
PS2,Boy Bands vs Girl Bands,The Supremes,Stop! In the Name of Love
PS3,Motown,The Supremes,You Can't Hurry Love
PS2,Motown,The Supremes,You Can't Hurry Love
PS3,Chartbreaker,The Supremes,You Can't Hurry Love
PS2,Summer Party,The Temptations,Get Ready
PS3,Motown,The Temptations,Get Ready
PS2,Motown,The Temptations,Get Ready
PS3,Vol 3: Party Ed,The Temptations,Papa Was A Rollin' Stone
PS3,Motown,The Temptations,Papa Was A Rollin' Stone
PS2,Motown,The Temptations,Papa Was a Rollin' Stone
PS2,Hottest Hits,The Ting Tings,Great DJ
PS2,Hottest Hits,The Ting Tings,That's Not My Name
PS3,Vol 2,The Velvelettes,Needle In A Haystack
PS3,Motown,The Velvelettes,Needle In A Haystack
PS2,Motown,The Velvelettes,Needle in A Haystack
PS2,Anthems,The Weather Girls,It's Raining Men
PCSX2,Rocks! (US),The White Stripes,Blue Orchid
PS2,Rocks!,Thin Lizzy,The Boys Are Back in Town
PS3,Chartbreaker,Thomas Godoj,Love Is You
PS3,Chartbreaker,Thompson Twins,Doctor! Doctor!
PCSX2,80s (US),Thompson Twins,Hold Me Now
PS2,Party,Tiffany,I Think We're Alone Now
PS3,Back To The 80s,Tight Fit,The Lion Sleeps Tonight
PS3,Vol 3: Party Ed,Timbaland feat. Keri Hilson,The Way I Are
PS3,Vol 3: Party Ed,Timbaland Feat. OneRepublic,Apologize
PS2,Rock Ballads,Tina Arena,Chains
PS2,80s,Tina Turner,Simply The Best
PS3,Vol 3: Party Ed,Ting Tings,Shut Up And Let Me Go
PS3,Ultimate Party,TLC,No Scrubs
PCSX2,The Dome (DE),Tom Jones,It's Not Unusual
PS2,Popworld,Tom Jones,It's Not Unusual
PS3,Vol 2,Tom Jones feat. Mousse T.,Sexbomb
PS3,Vol 2,Tone Loc,Funky Cold Medina
PS2,Rock Ballads,Toto,Africa
PS3,Back To The 80s,Toto,Africa
PS2,Summer Party,Toto,Hold The Line
PS2,Sing Along With Disney,Toy Story,You've Got A Friend In Me
PS2,Rock Ballads,T'Pau,China In Your Hand
PS3,Ultimate Party,Train,Drive By
PS3,Vol 3: Party Ed,Transvision Vamp,Baby I Don't Care
PCSX2,80s (DE),Trio Rio,"New York, Rio, Tokyo"
PS3,Vol 1,Twisted Sister,We're Not Gonna Take It
PCSX2,80s (US),Twisted Sister,We're Not Gonna Take It
PS3,Vol 1,U2,Beautiful Day
PCSX2,Pop (US),U2,Vertigo
PS2,Anthems,Ultra Nate,Free
PS3,Back To The 80s,Ultravox,Dancing With Tears In My Eyes
PS2,Rocks!,Undertones,Teenage Kicks
PS3,Vol 3: Party Ed,Vampire Weekend,Oxford Comma
PS2,Hottest Hits,Vanessa Amorosi,Perfect
PCSX2,90s (US),Vanilla Ice,Ice Ice Baby
PS2,80s,Vanilla Ice,Ice Ice Baby
PS2,Singstar,Village People,Y.M.C.A.
PCSX2,Amped (DE),Warrant,Cherry Pie
PS3,Chartbreaker,Watershed,Indigo Girl
PS3,Vol 1,Weezer,Buddy Holly
PCSX2,80s (DE),Westernhagen,Sexy
PS2,Boy Bands vs Girl Bands,Westlife,Flying Without Wings
PS2,Boy Bands vs Girl Bands,Westlife,Swear It Again
PS2,Singstar,Westlife,World of Our Own
PS2,90s,Wet Wet Wet,Love Is All Around
PS2,Summer Party,Wham!,Club Tropicana
PS3,Back To The 80s,Wham!,Freedom
PS2,80s,Wham!,Wake Me Up Before You Go-Go
PS3,Chartbreaker,Whigfield,Saturday Night
PS3,Back To The 80s,Whitesnake,Here I Go Again
PCSX2,Pop (US),Whitney Houston,I Wanna Dance With Somebody (Who Loves Me)
PS2,Anthems,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me)
PS2,R & B,Whitney Houston,My Love Is Your Love
PS3,Pop Edition,Will Young,Changes
PS2,Hottest Hits,Will.I.Am,I Got It From My Mama
PS2,Boy Bands vs Girl Bands,Wilson Phillips,Hold On
PCSX2,90s (US),Wilson Phillips,Hold On
PS2,Sing Along With Disney,Winnie The Pooh,Winnie The Pooh
PS3,Vol 1,Wolfmother,Love Train
PCSX2,Amped (DE),Wolfmother,Woman
PS2,R & B,Womack & Womack,Teardrops
PS3,Pop Edition,Yazoo,Don't Go
PS2,Summer Party,Yazz,The Only Way Is Up
PCSX2,Amped (US),Yeah Yeah Yeahs,Gold Lion
PCSX2,Amped (US),Yes,Owner Of A Lonely Heart
PS3,Vol 2,Young MC,Bust A Move
PS3,Vol 1,"Zutons, The",Valerie
PCSX2,Amped (US),ZZ Top,Gimme All Your Lovin'
